edmonton Dec 16, 2010 780 C$20 C$50 C$30
edmonton Dec 13, 2010 1213 C$25 C$50 C$25
edmonton Dec 10, 2010 973 C$20 C$40 C$20
edmonton Dec 08, 2010 15677 C$12 C$37 C$25
edmonton Dec 03, 2010 1436 C$35 C$100 C$65
edmonton Nov 29, 2010 889 C$35 C$70 C$35
edmonton Nov 24, 2010 1004 C$25 C$80 C$55
edmonton Nov 18, 2010 505 C$11 C$21 C$10
edmonton Nov 17, 2010 681 C$20 C$40 C$20
edmonton Nov 16, 2010 4708 C$20 C$40 C$20
edmonton Nov 15, 2010 659 C$9 C$19 C$10
edmonton Nov 12, 2010 653 C$99 C$394 C$295
edmonton Nov 11, 2010 777 C$10 C$20 C$10
edmonton Nov 10, 2010 1275 C$35 C$75 C$40
edmonton Nov 09, 2010 1868 C$9 C$21 C$12
edmonton Oct 29, 2010 665 C$35 C$86 C$51
edmonton Oct 27, 2010 1684 C$15 C$30 C$15
edmonton Oct 25, 2010 599 C$9 C$39 C$30
edmonton Sep 14, 2010 1346 C$10 C$20 C$10
edmonton Sep 10, 2010 798 C$99 C$315 C$216
edmonton Sep 08, 2010 876 C$40 C$150 C$110
edmonton Sep 07, 2010 927 C$8 C$16 C$8
edmonton Sep 02, 2010 1199 C$6 C$13 C$7
edmonton Aug 31, 2010 777 C$8 C$16 C$8
edmonton Aug 27, 2010 256 C$165 C$289 C$124
edmonton Aug 26, 2010 787 C$45 C$115 C$70
edmonton Aug 19, 2010 673 C$25 C$50 C$25
beaumont Chicago,
                  Feb 03, 2010 3319 $40 $85 $45
beaumont Los Angeles,
                  Jan 29, 2010 621 $150 $424 $274
beaumont San Diego,
                  Jan 29, 2010 1717 $50 $125 $75
beaumont Chicago,
                  Jan 05, 2010 5822 $20 $40 $20
beaumont Los Angeles,
                  Dec 15, 2009 1437 $50 $188 $138
beaumont Washington DC,
                  Dec 11, 2009 2432 $65 $139 $74
beaumont Seattle,
                  Dec 10, 2009 77 $43 $84 $41
beaumont Portland,
                  Dec 04, 2009 1136 $50 $135 $85
beaumont Chicago,
                  Nov 30, 2009 522 $49 $115 $66
beaumont Chicago,
                  Nov 27, 2009 1499 $99 $249 $150
beaumont Washington DC,
                  Nov 12, 2009 109 $20 $70 $50
beaumont San Francisco,
                  Oct 20, 2009 1648 $25 $50 $25
beaumont Boston,
                  Oct 09, 2009 706 $149 $279 $130
beaumont Seattle,
                  Oct 05, 2009 459 $32 $71 $39
beaumont Chicago,
                  Oct 01, 2009 146 $75 $194 $119
beaumont Austin,
                  Sep 28, 2009 1216 $22 $44 $22
beaumont Austin,
                  Sep 15, 2009 731 $10 $22 $12
beaumont Chicago,
                  Aug 13, 2009 2862 $35 $75 $40
beaumont Boston,
                  Jul 17, 2009 482 $99 $249 $150
beaumont New York City,
                  Jun 19, 2009 1034 $75 $150 $75
madison Jan 05, 2011 1000 $35 $70 $35
madison Dec 30, 2010 484 $10 $20 $10
madison Dec 28, 2010 387 $7 $15 $8
madison Dec 21, 2010 1000 $15 $30 $15
madison Dec 20, 2010 1139 $12 $25 $13
madison Dec 10, 2010 316 $49 $150 $101
madison Dec 09, 2010 492 $10 $24 $14
madison Dec 06, 2010 903 $12 $25 $13
madison Dec 03, 2010 1774 $15 $30 $15
madison Dec 01, 2010 769 $29 $65 $36
madison Nov 30, 2010 250 $30 $66 $36
madison Nov 24, 2010 308 $23 $51 $28
madison Nov 22, 2010 910 $5 $11 $6
madison Nov 19, 2010 786 $30 $60 $30
madison Nov 18, 2010 632 $25 $50 $25
madison Nov 17, 2010 429 $10 $20 $10
madison Nov 16, 2010 386 $26 $55 $29
madison Nov 15, 2010 563 $35 $70 $35
madison Nov 12, 2010 488 $9 $20 $11
madison Nov 10, 2010 245 $24 $50 $26
madison Nov 09, 2010 3371 $30 $60 $30
madison Nov 05, 2010 336 $139 $675 $536
madison Nov 04, 2010 1158 $6 $14 $8
madison Nov 01, 2010 613 $20 $40 $20
madison Oct 29, 2010 321 $99 $425 $326
madison Oct 22, 2010 2692 $20 $40 $20
madison Oct 21, 2010 585 $15 $50 $35
madison Oct 21, 2010 214 $30 $60 $30
madison Oct 18, 2010 1881 $6 $15 $9
madison Oct 15, 2010 1055 $30 $65 $35
madison Oct 13, 2010 317 $15 $30 $15
madison Oct 12, 2010 251 $20 $40 $20
madison Oct 11, 2010 511 $15 $36 $21
madison Oct 08, 2010 566 $10 $20 $10
madison Oct 07, 2010 385 $9 $20 $11
madison Oct 01, 2010 1000 $35 $80 $45
madison Sep 30, 2010 330 $6 $12 $6
madison Sep 24, 2010 340 $8 $16 $8
madison Sep 23, 2010 221 $29 $59 $30
madison Sep 22, 2010 1293 $25 $50 $25
madison Sep 20, 2010 647 $15 $30 $15
madison Sep 15, 2010 522 $8 $24 $16
madison Sep 10, 2010 350 $35 $72 $37
madison Aug 30, 2010 798 $37 $75 $38
madison Aug 18, 2010 939 $12 $25 $13
madison Aug 12, 2010 639 $8 $18 $10
madison Jul 28, 2010 1342 $10 $20 $10
madison Jul 14, 2010 314 $12 $40 $28
tallahassee Feb 15, 2011 877 $5 $10 $5
tallahassee Feb 14, 2011 596 $25 $50 $25
tallahassee Feb 04, 2011 890 $10 $20 $10
tallahassee Feb 02, 2011 802 $9 $20 $11
tallahassee Jan 17, 2011 186 $35 $80 $45
tallahassee Jan 13, 2011 1237 $10 $20 $10
tallahassee Jan 10, 2011 1269 $25 $50 $25
tallahassee Jan 06, 2011 872 $5 $10 $5
tallahassee Dec 30, 2010 733 $5 $10 $5
tallahassee Dec 17, 2010 500 $25 $50 $25
tallahassee Dec 09, 2010 2450 $12 $24 $12
tallahassee Dec 07, 2010 492 $20 $40 $20
tallahassee Dec 01, 2010 336 $25 $50 $25
tallahassee Nov 24, 2010 1304 $3 $8 $5
tallahassee Nov 23, 2010 428 $10 $20 $10
tallahassee Nov 17, 2010 399 $10 $20 $10
tallahassee Nov 15, 2010 317 $4 $8 $4
tallahassee Nov 12, 2010 391 $3 $6 $3
tallahassee Nov 09, 2010 413 $7 $15 $8
tallahassee Nov 08, 2010 110 $14 $30 $16
tallahassee Nov 04, 2010 226 $4 $8 $4
tallahassee Nov 03, 2010 184 $6 $15 $9
tallahassee Nov 02, 2010 435 $35 $75 $40
tallahassee Nov 01, 2010 493 $4 $8 $4
tampa-bay-area Mar 02, 2011 3201 $25 $50 $25
tampa-bay-area Feb 25, 2011 1395 $16 $32 $16
tampa-bay-area Feb 24, 2011 3061 $20 $42 $22
tampa-bay-area Feb 16, 2011 1893 $17 $35 $18
tampa-bay-area Feb 12, 2011 1865 $10 $20 $10
tampa-bay-area Feb 08, 2011 1540 $50 $102 $52
tampa-bay-area Feb 04, 2011 6510 $10 $20 $10
tampa-bay-area Feb 02, 2011 2296 $20 $44 $24
tampa-bay-area Jan 26, 2011 2179 $15 $30 $15
tampa-bay-area Jan 22, 2011 2082 $9 $20 $11
tampa-bay-area Jan 21, 2011 2000 $59 $198 $139
tampa-bay-area Jan 12, 2011 3183 $12 $30 $18
tampa-bay-area Dec 27, 2010 3409 $15 $30 $15
tampa-bay-area Dec 06, 2010 1938 $5 $13 $8
tampa-bay-area Dec 04, 2010 2507 $9 $20 $11
tampa-bay-area Nov 23, 2010 2845 $15 $30 $15
tampa-bay-area Nov 17, 2010 2741 $8 $17 $9
tampa-bay-area Nov 12, 2010 1189 $110 $202 $92
tampa-bay-area Oct 22, 2010 2414 $99 $900 $801
tampa-bay-area Oct 08, 2010 1411 $35 $150 $115
tampa-bay-area Oct 07, 2010 1483 $12 $25 $13
tampa-bay-area Oct 06, 2010 978 $17 $34 $17
tampa-bay-area Sep 29, 2010 484 $27 $48 $21
tampa-bay-area Sep 24, 2010 1361 $30 $60 $30
tampa-bay-area Sep 23, 2010 1240 $15 $30 $15
tampa-bay-area Sep 16, 2010 4723 $10 $30 $20
tampa-bay-area Sep 08, 2010 1529 $4 $8 $4
tampa-bay-area Sep 01, 2010 1114 $25 $50 $25
tampa-bay-area Aug 27, 2010 2315 $12 $25 $13
tampa-bay-area Aug 25, 2010 772 $12 $25 $13
tampa-bay-area Jul 22, 2010 1980 $10 $25 $15
tampa-bay-area Jul 13, 2010 688 $18 $54 $36
tampa-bay-area Jul 09, 2010 699 $45 $127 $82
tampa-bay-area Jul 06, 2010 915 $11 $22 $11
tampa-bay-area Jun 23, 2010 520 $30 $284 $254
tampa-bay-area Jun 16, 2010 2818 $4 $9 $5
tampa-bay-area Jun 07, 2010 598 $15 $30 $15
tampa-bay-area May 28, 2010 1652 $25 $49 $24
tampa-bay-area May 05, 2010 929 $6 $14 $8
tampa-bay-area May 04, 2010 2000 $10 $25 $15
tampa-bay-area Apr 30, 2010 1023 $35 $75 $40
tampa-bay-area Apr 23, 2010 1328 $12 $30 $18
tampa-bay-area Mar 29, 2010 1078 $25 $70 $45
tampa-bay-area Mar 23, 2010 469 $15 $30 $15
tampa-bay-area Mar 05, 2010 1571 $8 $19 $11
tampa-bay-area Mar 01, 2010 2333 $8 $15 $7
tampa-bay-area Feb 19, 2010 1192 $45 $205 $160
tampa-bay-area Feb 11, 2010 1066 $20 $44 $24
tampa-bay-area Jan 29, 2010 1209 $20 $50 $30
tampa-bay-area Jan 25, 2010 682 $5 $10 $5
tampa-bay-area Dec 22, 2009 411 $30 $80 $50
tampa-bay-area Dec 18, 2009 1133 $29 $75 $46
tampa-bay-area Dec 04, 2009 332 $25 $50 $25
tampa-bay-area Oct 26, 2009 349 $35 $75 $40
abbotsford Feb 18, 2011 1543 C$15 C$30 C$15
abbotsford Feb 15, 2011 622 C$10 C$20 C$10
abbotsford Feb 14, 2011 95 C$59 C$288 C$229
abbotsford Feb 10, 2011 423 C$14 C$35 C$21
abbotsford Feb 03, 2011 675 C$7 C$15 C$8
abbotsford Jan 24, 2011 1267 C$15 C$35 C$20
abbotsford Jan 20, 2011 254 C$39 C$106 C$67
abbotsford Jan 18, 2011 347 C$19 C$44 C$25
abbotsford Jan 17, 2011 1199 C$6 C$18 C$12
abbotsford Jan 13, 2011 176 C$17 C$35 C$18
abbotsford Jan 10, 2011 585 C$10 C$25 C$15
abbotsford Jan 07, 2011 174 C$129 C$360 C$231
abbotsford Dec 30, 2010 264 C$10 C$25 C$15
abbotsford Dec 22, 2010 142 C$99 C$400 C$301
abbotsford Dec 21, 2010 138 C$29 C$70 C$41
abbotsford Dec 13, 2010 417 C$20 C$40 C$20
birmingham Nov 08, 2010 1214 $4 $10 $6
birmingham Oct 26, 2010 1019 $12 $25 $13
birmingham Oct 01, 2010 308 $99 $525 $426
birmingham Sep 16, 2010 715 $9 $20 $11
birmingham Sep 14, 2010 626 $39 $79 $40
birmingham Sep 03, 2010 2103 $25 $50 $25
birmingham Aug 31, 2010 636 $7 $15 $8
birmingham Aug 27, 2010 1582 $15 $35 $20
birmingham Aug 25, 2010 557 $20 $50 $30
birmingham Aug 19, 2010 2151 $25 $50 $25
birmingham Aug 16, 2010 866 $5 $10 $5
birmingham Jul 28, 2010 811 $5 $12 $7
birmingham May 26, 2010 1602 $5 $12 $7
birmingham May 17, 2010 441 $39 $100 $61
milwaukee Nov 08, 2010 845 $30 $64 $34
milwaukee Nov 03, 2010 1482 $12 $24 $12
milwaukee Oct 29, 2010 737 $20 $45 $25
milwaukee Oct 27, 2010 1328 $35 $120 $85
milwaukee Oct 26, 2010 1726 $7 $15 $8
milwaukee Oct 19, 2010 849 $19 $38 $19
milwaukee Oct 02, 2010 2324 $7 $15 $8
milwaukee Sep 17, 2010 1294 $35 $70 $35
milwaukee Sep 14, 2010 2531 $5 $10 $5
milwaukee Sep 13, 2010 970 $9 $18 $9
milwaukee Aug 31, 2010 551 $15 $30 $15
milwaukee Aug 24, 2010 1338 $7 $15 $8
milwaukee Jul 29, 2010 2494 $35 $75 $40
milwaukee Jul 26, 2010 1107 $15 $30 $15
milwaukee Jul 09, 2010 500 $21 $52 $31
milwaukee Jul 01, 2010 259 $100 $200 $100
milwaukee Jun 29, 2010 2465 $15 $90 $75
milwaukee Apr 19, 2010 512 $6 $12 $6
milwaukee Apr 09, 2010 413 $35 $80 $45
milwaukee Mar 31, 2010 655 $9 $20 $11
milwaukee Mar 26, 2010 272 $15 $30 $15
milwaukee Mar 23, 2010 100 $20 $57 $37
milwaukee Mar 22, 2010 219 $39 $80 $41
milwaukee Mar 11, 2010 645 $10 $25 $15
milwaukee Mar 05, 2010 117 $55 $219 $164
milwaukee Mar 04, 2010 470 $10 $20 $10
milwaukee Mar 01, 2010 346 $8 $30 $22
milwaukee Feb 26, 2010 461 $20 $50 $30
santa-barbara Mar 28, 2011 1249 $15 $30 $15
oklahoma-city Feb 11, 2011 2400 $20 $40 $20
oklahoma-city Feb 04, 2011 4215 $10 $20 $10
oklahoma-city Feb 01, 2011 2107 $15 $30 $15
oklahoma-city Jan 28, 2011 4581 $25 $50 $25
oklahoma-city Oct 30, 2010 1500 $10 $20 $10
oklahoma-city Oct 14, 2010 1247 $10 $20 $10
oklahoma-city Sep 29, 2010 2274 $45 $100 $55
oklahoma-city Sep 23, 2010 1132 $10 $25 $15
oklahoma-city Sep 09, 2010 1330 $10 $20 $10
oklahoma-city Sep 01, 2010 1136 $29 $65 $36
oklahoma-city Aug 25, 2010 2026 $5 $10 $5
oklahoma-city Aug 16, 2010 198 $17 $42 $25
oklahoma-city Aug 10, 2010 4000 $8 $20 $12
oklahoma-city Aug 03, 2010 851 $25 $60 $35
oklahoma-city Jul 30, 2010 1022 $10 $26 $16
oklahoma-city Jul 28, 2010 318 $15 $32 $17
oklahoma-city Jul 23, 2010 1557 $25 $50 $25
oklahoma-city Jul 22, 2010 650 $8 $27 $19
oklahoma-city Jul 12, 2010 1425 $10 $25 $15
oklahoma-city Jun 23, 2010 1389 $10 $20 $10
oklahoma-city Jun 22, 2010 889 $29 $58 $29
oklahoma-city Jun 21, 2010 757 $15 $30 $15
oklahoma-city Jun 18, 2010 602 $20 $40 $20
oklahoma-city Jun 16, 2010 472 $20 $197 $177
oklahoma-city Jun 15, 2010 1279 $10 $25 $15
oklahoma-city Jun 11, 2010 1111 $99 $750 $651
oklahoma-city Jun 10, 2010 321 $5 $10 $5
oklahoma-city Jun 08, 2010 260 $35 $115 $80
oklahoma-city Jun 07, 2010 1494 $10 $25 $15
oklahoma-city Jun 04, 2010 957 $29 $65 $36
oklahoma-city Jun 02, 2010 475 $49 $703 $654
oklahoma-city Jun 01, 2010 1195 $4 $8 $4
oklahoma-city May 27, 2010 369 $10 $20 $10
oklahoma-city May 25, 2010 26 $25 $65 $40
oklahoma-city May 20, 2010 768 $14 $29 $15
oklahoma-city May 19, 2010 759 $5 $10 $5
oklahoma-city May 18, 2010 1661 $12 $29 $17
baton-rouge Mar 01, 2011 3619 $15 $30 $15
baton-rouge Feb 04, 2011 1438 $10 $20 $10
baton-rouge Feb 04, 2011 172 $139 $500 $361
baton-rouge Feb 03, 2011 241 $13 $26 $13
baton-rouge Feb 01, 2011 397 $15 $50 $35
baton-rouge Jan 28, 2011 326 $32 $75 $43
